# val_loss, val_acc, loss, acc
7.237216356369826631e-01,7.237237401910729950e-01,5.103656548810632243e-01,8.063158005475997703e-01
7.496747950444350161e-01,7.177177332006059451e-01,5.061255655790629637e-01,8.115789581286280141e-01
7.863638623877688971e-01,7.357357501446664116e-01,5.447538765637498503e-01,7.978947488885176353e-01
6.958768424150105769e-01,7.057057219045655971e-01,5.267970972155270326e-01,8.073684325343684076e-01
7.764017504077773690e-01,7.117117288950327580e-01,4.535547674094375648e-01,8.305263254203294476e-01
6.967209381563169712e-01,7.357357514871133430e-01,5.104509028557099315e-01,8.126315896448336185e-01
7.366899958064964116e-01,7.027027190805555934e-01,4.591998951215492952e-01,8.294736943746867652e-01
7.632126754468625540e-01,7.357357501446664116e-01,4.751318704140813920e-01,8.305263258908924806e-01
6.827554455748549023e-01,7.507507653386743529e-01,4.671990013828403177e-01,8.189473792126303886e-01
6.905484868062509163e-01,7.507507656071636948e-01,4.219013131762806013e-01,8.410526410529487462e-01
7.599775928097802780e-01,7.147147301081064885e-01,4.764842743152066240e-01,8.357894832366391524e-01
7.149562247701592987e-01,7.267267427465937679e-01,4.610298304181350004e-01,8.273684313422755565e-01
7.703947159084113538e-01,7.117117275525858267e-01,4.438665888811412774e-01,8.400000095367431419e-01
6.321830283682625673e-01,7.537537684311738095e-01,4.623518191277981026e-01,8.157894845071591572e-01
7.232349568659121042e-01,7.267267416726361784e-01,4.523415925079270483e-01,8.400000095367431419e-01
