# val_loss, val_acc, loss, acc
1.061269073382667960e+00,5.797101596127385292e-01,1.693430909546472796e+00,3.792114800983859557e-01
8.471039565833838880e-01,6.486486628785863573e-01,1.214290344663400800e+00,5.545914848688626719e-01
8.695268088632875925e-01,6.426426612579070330e-01,1.023742695821857174e+00,6.052060910781397185e-01
8.253238493794793351e-01,6.636636810259776142e-01,9.301821916584337435e-01,6.435285797605286850e-01
6.600287011614790478e-01,7.417417568666441197e-01,9.200430933604271111e-01,6.550976299153491444e-01
8.253449053914697631e-01,6.696696877479553223e-01,8.831359669404537094e-01,6.688358817984897398e-01
7.050883471965789795e-01,7.177177329321164923e-01,8.118113729933078559e-01,6.883586569489211771e-01
7.966523414796536917e-01,6.576576767204044272e-01,7.418867184774476931e-01,7.122198268932788956e-01
6.372053998413386156e-01,7.177177332006059451e-01,7.598223626419675636e-01,7.172812887360372480e-01
6.579970537542222386e-01,7.207207373670629913e-01,7.368528851330150564e-01,7.158351572242579453e-01
8.870777404523110254e-01,6.156156358418164443e-01,7.451996835607251901e-01,7.165582223983234522e-01
7.614316336206488067e-01,7.117117262101387842e-01,7.342108404041629566e-01,7.274042100296103097e-01
8.232252831394607506e-01,6.816816993124850121e-01,6.835795181950881094e-01,7.331887353656090234e-01
6.953416399590603980e-01,7.027027190805555934e-01,7.330585893025367561e-01,7.324656693511308880e-01
6.947928164993319999e-01,6.966967147749822953e-01,7.188681639294561831e-01,7.259580771602415217e-01
7.285719511208234023e-01,7.417417571351334615e-01,7.237735206742089700e-01,7.433116553662397763e-01
8.397200843235393952e-01,6.516516724148312401e-01,7.218419456947392510e-01,7.245119463595806053e-01
7.178848912050058706e-01,7.207207360246159489e-01,6.874808192964231290e-01,7.411424587450420320e-01
8.271604357538996366e-01,6.756756936644648937e-01,6.960157464276555128e-01,7.339118002164389809e-01
6.823672713997127603e-01,7.237237401910729950e-01,6.620360307088384300e-01,7.642805632567457597e-01
7.192304606910224773e-01,7.117117275525858267e-01,6.829648560272638669e-01,7.505423132483716175e-01
7.088455136294837811e-01,7.177177345430528765e-01,7.078461902713051312e-01,7.266811432393667225e-01
8.529060630647985475e-01,6.606606782019674995e-01,6.902245849435603153e-01,7.382501959800720215e-01
6.624533850867468932e-01,7.327327486631032283e-01,6.722667628733558498e-01,7.527115101281577347e-01
7.270376332428144517e-01,7.043478437091993394e-01,7.257278157224364978e-01,7.310195380979401802e-01
