# val_loss, val_acc, loss, acc
1.137765980285146972e+00,5.043478426725968022e-01,1.605788012986542057e+00,4.021505482735172610e-01
9.261278988004805202e-01,6.186186386658264480e-01,1.184237745346061077e+00,5.401301690076282247e-01
8.848535394346391803e-01,5.915916102963525436e-01,1.078795024603928399e+00,5.798987870361179686e-01
8.996115200691394698e-01,6.606606776649887047e-01,9.611508947778937273e-01,6.464208414911447598e-01
8.373209909275844964e-01,6.156156318144755391e-01,8.569054498848325263e-01,6.724512103193494017e-01
7.603436190265793204e-01,6.966967145064929534e-01,8.006594978806254037e-01,6.926970517428474583e-01
7.389737622694926289e-01,6.696696877479553223e-01,7.904097480202445514e-01,6.926970521307301842e-01
8.574734518119880855e-01,6.216216401473896314e-01,7.687696516513824463e-01,7.020969076037665291e-01
7.021908386870547858e-01,7.087087258025333014e-01,7.366538313166955954e-01,7.259580778067127316e-01
8.291370900901587904e-01,6.336336514434298683e-01,7.796128473674914794e-01,6.984815794707895931e-01
8.598457268766455108e-01,6.066066257588498267e-01,7.701761357631704552e-01,7.020969068926482537e-01
8.398003309696644436e-01,6.936937106085253602e-01,7.110460336257475866e-01,7.252350117275875307e-01
7.277042036120956459e-01,7.117117262101387842e-01,6.611284738216638424e-01,7.396963272332628403e-01
7.572777852550283129e-01,6.966967134325353639e-01,6.793687519760814864e-01,7.483731168857623572e-01
6.815731094495670606e-01,7.207207373670629913e-01,7.322048062616212105e-01,7.245119450666381855e-01
7.149505204445606443e-01,7.087087260710226433e-01,7.119775105453624020e-01,7.237888802158082280e-01
8.193835468442590697e-01,6.456456651558747373e-01,7.083721675479748292e-01,7.404193926012696547e-01
8.050551358106974309e-01,6.516516697299372662e-01,6.894850662046813072e-01,7.317426039184768971e-01
7.337325776482487294e-01,7.117117275525858267e-01,6.807728675143579489e-01,7.469269840810407457e-01
6.904444788490329277e-01,7.207207360246159489e-01,6.904795570319232079e-01,7.310195378393516963e-01
6.863904565841227878e-01,6.996997173305030682e-01,7.052728483966529405e-01,7.382501944285411177e-01
7.316922059467246831e-01,7.057057216360762553e-01,6.775278938437232501e-01,7.389732614773731889e-01
6.973694392085612037e-01,7.087087260710226433e-01,6.764412671327590942e-01,7.418655244362845069e-01
7.180645957186415629e-01,7.087087247285757119e-01,6.409501733335134510e-01,7.563268399419598165e-01
7.558766810790352730e-01,6.840579872545988760e-01,6.498569852941207259e-01,7.556037741860701651e-01
7.129865823028324057e-01,7.027027190805555934e-01,6.898141535011134140e-01,7.353579323100423171e-01
6.916365705866802660e-01,7.297297444966461821e-01,6.650964547587061571e-01,7.360809980659319685e-01
7.850741588317595721e-01,6.846847021364951269e-01,7.242495725961672903e-01,7.339118011214986748e-01
8.853316041263373792e-01,6.636636823684245456e-01,6.802889285144474441e-01,7.447577870719603865e-01
7.685216369929613878e-01,6.696696893588917066e-01,6.856472662239944116e-01,7.519884456652105031e-01
6.603827454351089976e-01,7.447447599591435763e-01,6.403328477043391809e-01,7.454808537975567972e-01
7.102386025158134997e-01,7.177177332006059451e-01,6.945637303875221713e-01,7.317426029487701378e-01
6.902952462703257908e-01,7.147147317190427618e-01,6.699492572574450300e-01,7.425885905800568842e-01
6.970227799705557281e-01,7.027027177381085510e-01,6.922168209340722189e-01,7.440347209928350747e-01
6.145743994830964452e-01,7.417417571351334615e-01,6.581345446197691684e-01,7.483731166271739843e-01
7.719589326832745346e-01,6.906907064420683140e-01,6.531191787272369043e-01,7.462039189716223042e-01
8.732674860202513933e-01,6.186186332960386114e-01,6.882115866738389709e-01,7.281272748157932018e-01
6.796218202457772195e-01,7.117117262101387842e-01,6.786571442757666217e-01,7.462039189069752387e-01
8.386655671370996101e-01,6.906907077845152454e-01,5.914229316204592246e-01,7.657266947685249514e-01
7.749981625123066875e-01,7.057057205621186657e-01,6.312486061305130347e-01,7.628344316803193914e-01
7.781405207273122127e-01,7.027027190805555934e-01,6.505001134313885824e-01,7.671728259570687047e-01
