# val_loss, val_acc, loss, acc
7.210691917586971034e-01,6.996997175989924100e-01,6.622472766811056122e-01,7.505423138948428274e-01
6.837394943645408452e-01,6.996997149140985472e-01,6.183922004738495737e-01,7.541576420278197634e-01
6.999884301477724557e-01,7.057057216360762553e-01,6.255256062668471673e-01,7.736804183418993786e-01
6.530870263640945472e-01,7.327327486631032283e-01,5.882027983794760884e-01,7.823572070893393127e-01
6.578804537788167650e-01,7.147147303765958304e-01,5.507383198838947669e-01,7.888647986337574691e-01
6.611156487787092084e-01,7.237237388486260636e-01,5.893899975203122921e-01,7.686189573395536545e-01
6.778026840708277767e-01,7.237237388486260636e-01,5.493395748081538743e-01,8.004338513744627681e-01
6.283061179491851167e-01,7.207207360246159489e-01,5.753780369063002942e-01,7.722342862482960424e-01
6.362870698039596595e-01,7.357357501446664116e-01,5.133577911365058144e-01,7.816341417213323872e-01
6.367261741343919201e-01,7.387387543111234578e-01,6.071498874663789902e-01,7.577729714537391192e-01
6.329108787619549537e-01,7.449275514353876915e-01,5.345919781451370367e-01,7.888647986337574691e-01
6.410773052825583518e-01,7.327327483946138864e-01,5.874726216504734255e-01,7.910339962246619727e-01
6.409822648709958548e-01,7.417417571351334615e-01,5.068117174402752001e-01,7.888647985691104036e-01
