# val_loss, val_acc, loss, acc
6.773718686071698025e-01,7.305389366999357481e-01,6.832689396098967638e-01,7.308249061687293047e-01
7.338400189569610488e-01,7.005988185455699346e-01,6.337305261024345215e-01,7.460202749834736746e-01
7.535745944091659654e-01,6.976048069264360052e-01,6.397470159809254264e-01,7.518089866068877747e-01
6.901780076458782220e-01,7.215569009502490472e-01,6.172259211993079697e-01,7.655571774618670222e-01
7.098613992601097156e-01,7.095808529568289336e-01,5.944244610806105333e-01,7.655571770952682709e-01
6.759041716417152346e-01,7.305389368783927750e-01,6.115569424655088460e-01,7.713458891284104002e-01
6.254769945572949963e-01,7.275449264192295207e-01,6.207546038625899598e-01,7.684515320443899844e-01
7.208044089064626903e-01,7.215569013071631010e-01,5.629279064944529010e-01,7.858176679712991497e-01
6.782541817087612834e-01,7.455089970263178989e-01,5.734502771699480084e-01,7.749638339199999004e-01
5.623351348463646593e-01,7.784431269782745577e-01,5.896894333105097141e-01,7.764110111465675201e-01
6.846416557798842284e-01,7.425149840687563785e-01,5.817669050932448016e-01,7.655571771383975488e-01
6.842420452726101221e-01,7.485030088239087442e-01,5.812567504050072387e-01,7.648335878997394310e-01
6.291825303774394307e-01,7.574850443951384182e-01,5.634104960777307491e-01,7.814761345017318117e-01
